gvkey,iid,cik,first_date,last_date
141934,01,1109879,2000-04-05,2012-08-14
064791,02W,1030997,2003-05-28,2025-05-19
028386,01,892534,2002-11-29,2015-11-05
178741,01W,1402606,2007-10-12,2020-08-19
065460,01,1016838,2003-04-29,2025-08-13
106154,01C,1087072,2002-11-15,2006-11-03
063726,01C,941625,2001-05-15,2009-07-08
026761,01,1040368,2003-01-31,2008-07-03
106039,01,852747,2003-01-10,2020-10-28
028386,01W,892534,2002-11-29,2015-11-05
166303,02,1337675,2006-03-15,2015-11-20
286396,01W,1574565,2013-09-23,2025-03-27
027112,01C,861987,2005-07-15,2005-10-18
015037,04C,919239,1998-02-27,2018-02-15
127114,01W,1098462,2002-06-25,2025-04-25
160902,01,1291361,2004-07-14,2017-03-23
022783,01W,1611005,2014-06-20,2025-04-02
032749,02,1638097,2017-07-14,2025-08-08
160375,03,1289340,2004-05-07,2025-08-13
184826,01,1181749,2003-05-20,2022-09-14
150751,01,1169709,2002-09-03,2005-05-16
156583,01,1190370,2003-09-09,2025-06-12
018949,01,1355559,2013-01-23,2021-09-28
296885,90,1553846,2012-12-26,2025-04-10
028288,01C,921887,2003-01-03,2006-07-21
018869,90W,1576789,2013-05-30,2025-03-21
176083,01,1316644,2005-02-22,2021-02-16
021188,01,753772,1996-05-20,2018-03-20
026720,01,802257,2016-05-02,2025-08-13
107991,01,1072842,1999-06-04,2024-04-01
041978,01,1733861,2021-05-26,2025-04-25
066274,01,1138476,2003-12-18,2025-07-31
037212,01,1419275,2018-09-06,2025-08-14
014487,01,816949,1996-05-15,2008-02-07
029736,01,916365,1996-08-02,2025-08-07
164610,03,1331931,2005-07-15,2010-08-23
148240,01,1156293,2001-12-03,2010-05-24
163791,01,1301367,2004-12-02,2014-11-19
009481,01,350644,1996-06-27,2016-09-09
065050,01,890066,1997-04-14,2025-08-14
064794,01,857855,1996-05-14,2025-08-08
006930,01C,887701,2002-11-15,2013-03-20
028668,01,906782,1996-06-03,2008-12-22
140044,01,1082038,2000-04-20,2025-08-13
015929,92W,1160106,2003-02-14,2025-05-01
015444,91W,849395,2003-03-05,2025-08-06
015929,93W,1160106,2003-02-14,2025-05-01
064835,03W,1038683,2002-11-04,2025-07-21
031137,90,932789,2002-11-07,2010-04-29
015929,90W,1160106,2003-02-14,2025-05-01
064835,90W,1038683,2002-11-04,2025-07-21
002411,02W,756620,2002-11-07,2020-07-31
185294,01,1160106,2003-02-14,2025-05-01
007647,62,70858,1994-03-30,2025-07-16
015929,05W,1160106,2003-02-14,2025-05-01
007647,59,70858,1994-03-30,2025-07-16
183056,01,70858,1994-03-30,2025-07-16
185720,01,70858,1994-03-30,2025-07-16
185002,01,70858,1994-03-30,2025-07-16
183802,01,70858,1994-03-30,2025-07-16
110566,01,1054905,1998-06-29,2025-08-06
029194,01W,932470,2002-11-12,2025-08-12
135844,01,836690,2000-05-09,2025-08-14
120301,04,1041657,1997-08-13,2025-08-13
027794,01,895419,1996-05-09,2025-08-26
117035,01,1068912,1998-09-09,2010-09-22
029376,03,912240,1996-05-15,2006-05-15
138705,01,1108951,2000-04-06,2005-11-18
064392,01,311407,1997-03-31,2005-11-16
061691,01,1072546,1998-10-27,2005-03-17
006475,01,205520,1994-03-23,2006-05-03
007116,01,63276,1994-03-25,2025-05-06
